address;neighborhood;price;days_in_market;expenses;util;n_rooms;n_bathrooms;parking
QMSW 05 122 EDIFÍCIO MONTBLANC,  Sudoeste, Brasília;Sudoeste;1100.0;22.0;273.0;25.0;1.0;1.0;1.0
Setor Hoteleiro Sul, Brasília;Setor Hoteleiro Sul;8000.0;228.0;;70.0;;2.0;
Lago Sul, Brasília;Lago Sul;1900.0;1.0;380.0;58.0;;2.0;
SBN QUADRA 2,  Setor Bancario Norte, Brasília;Setor Bancario Norte;590000.0;6.0;;14858.0;;0.0;98.0
Setor Bancario Sul, Brasília;Setor Bancario Sul;2450.0;5.0;619.0;38.0;;1.0;1.0
Lago Sul, Brasília;Lago Sul;16000.0;44.0;;780.0;4.0;5.0;10.0
Asa Norte, Brasília;Asa Norte;22000.0;122.0;1100.0;400.0;;5.0;5.0
SIA TRECHO 03 - LT 625/695 ,  Zona Industrial, Guará;Zona Industrial;3692.0;148.0;;52.0;;0.0;
SAAN Quadra 03, Numero 1140 sala 101,  Setor de Armazenagem e Abastecimento Norte, Brasília;Setor de Armazenagem e Abastecimento Norte;3500.0;161.0;;212.0;;2.0;
SQN 402 BLOCO K APTO 206,  Asa Norte, Brasília;Asa Norte;2700.0;10.0;595.0;90.0;3.0;2.0;
CLS 410 BLOCO B 26,  Asa Sul, Brasília;Asa Sul;5000.0;25.0;;105.0;;2.0;
Lago Sul, Brasília;Lago Sul;10500.0;10.0;498.0;1000.0;4.0;6.0;3.0
Aguas Norte, Águas Claras;Aguas Norte;29000.0;1.0;;727.0;;0.0;
Life Resort SHTN Trecho 2 Life Resort SHTN Trecho 2,  Setor de Hotéis e Turismo Norte, Brasília;Setor de Hotéis e Turismo Norte;2100.0;8.0;500.0;37.0;1.0;1.0;2.0
QL 08 Lago Sul ,  Lago Sul, Brasília;Lago Sul;25000.0;282.0;1.0;665.0;5.0;7.0;4.0
QUADRA SCLRN 712 BLOCO D,  Asa Norte, Brasília;Asa Norte;550.0;39.0;150.0;30.0;1.0;1.0;
rua 4 rua 4,  Vicente Pires, Vicente Pires;Vicente Pires;1200.0;9.0;285.0;65.0;2.0;1.0;2.0
SOF SUL Q 12,  Zona Industrial, Brasília;Zona Industrial;1900.0;148.0;;105.0;;1.0;
Asa Norte, Brasília;Asa Norte;2900.0;138.0;;29.0;1.0;;
Quadra QMSW 5 Lote 7 Bloco H Kit 103,  Sudoeste, Brasília;Sudoeste;1350.0;16.0;207.0;24.0;1.0;1.0;1.0
Asa Sul, Brasília;Asa Sul;1600.0;0.0;423.0;38.0;1.0;1.0;
SIA TRECHO 01,  Centro, Brasília;Centro;60000.0;217.0;;3000.0;;;25.0
Rua SQNW 311 0,  Noroeste, Brasília;Noroeste;6000.0;1.0;1600.0;253.0;3.0;5.0;2.0
Setor Habitacional Jardim Botânico, Brasília;Setor Habitacional Jardim Botânico;7600.0;255.0;560.0;280.0;3.0;5.0;4.0
"SHS QUADRA 6 CONJUNTO A BLOCO ""A"",  Asa Sul, Brasília";Asa Sul;15700.0;320.0;3665.0;157.0;;3.0;
Setor SHTN Trecho 2 Lote 3,  Asa Norte, Brasília;Asa Norte;2500.0;16.0;;32.0;1.0;1.0;1.0
QMSW 05,  Sudoeste, Brasília;Sudoeste;750.0;4.0;207.0;28.0;1.0;1.0;1.0
Conjunto SMDB Conjunto 12 0,  Lago Sul, Brasília;Lago Sul;25000.0;274.0;500.0;1118.0;4.0;9.0;4.0
AOS 4 Bloco E,  Octogonal, Brasília;Octogonal;2600.0;15.0;728.0;68.0;2.0;2.0;1.0
Quadra Q 1 Conjunto D 0,  Setor De Desenvolvimento Economico, Taguatinga;Setor De Desenvolvimento Economico;9000.0;55.0;;980.0;;3.0;
Rua 3c Chácara 27 0,  Vicente Pires, Vicente Pires;Vicente Pires;10000.0;128.0;;800.0;;2.0;
Asa Sul, Brasília;Asa Sul;450.0;275.0;349.0;25.0;;0.0;
Lago Norte, Brasília;Lago Norte;1200.0;217.0;292.0;39.0;;1.0;
Quadra SEPS 713/913 0,  Asa Sul, Brasília;Asa Sul;1600.0;2.0;269.0;25.0;1.0;1.0;1.0
SQS 412 ,  Asa Sul, Brasília;Asa Sul;2200.0;22.0;360.0;75.0;3.0;1.0;
Planaltina, Planaltina;Planaltina;1800.0;133.0;;48.0;;;
SQN 311,  Asa Norte, Brasília;Asa Norte;12000.0;51.0;3192.0;645.0;4.0;4.0;3.0
Rua CA 8 0,  Lago Norte, Brasília;Lago Norte;1200.0;58.0;;30.0;1.0;1.0;1.0
Brasília Shopping, BL A - SCN Q5 - Asa Norte, Brasília - DF 5° ANDAR  TORRE NORTE,  Setor Comercial Norte, Brasília;Setor Comercial Norte;18600.0;179.0;6369.0;360.0;;2.0;10.0
SHN 02 ED. EXECUTIVE OFFICE TOWER BLOCO F SALA 709 ,  Asa Norte, Brasília;Asa Norte;1000.0;36.0;365.0;29.0;;1.0;
Quadra Qsd 4 5,  Taguatinga Sul, Taguatinga;Taguatinga Sul;25800.0;304.0;7133.0;2097.0;;10.0;
R Rua 19 Norte ,  Centro, Brasília;Centro;7500.0;0.0;;93.0;;;
Avenida Pau Brasil 10,  Aguas Sul, Águas Claras;Aguas Sul;1050.0;226.0;130.0;25.0;;1.0;1.0
Rua Artur Roriz 3,  Setor Aeroporto, Luziânia;Setor Aeroporto;1100.0;304.0;450.0;93.0;3.0;2.0;1.0
Rua 12 0,  Vicente Pires, Vicente Pires;Vicente Pires;12000.0;7.0;;677.0;;;
SETOR SDN,  Asa Norte, Brasília;Asa Norte;1100.0;217.0;807.0;43.0;;1.0;
Quadra 1 Conjunto A,  Setor Sul, Gama;Setor Sul;4500.0;365.0;;250.0;;;2.0
Taguatinga Sul, Taguatinga;Taguatinga Sul;1120.0;8.0;233.0;37.0;;1.0;1.0
SHS Quadra 6 Conjunto A Bloco E 703,  Asa Sul, Brasília;Asa Sul;2917.0;15.0;817.0;32.0;;1.0;
Asa Sul, Brasília;Asa Sul;5000.0;0.0;1300.0;148.0;3.0;;1.0
SQNW 311 BLOCO E ENT. B ED. ATRIUM D´ARGENT APTO 110,  Noroeste, Brasília;Noroeste;2040.0;35.0;396.0;34.0;1.0;1.0;1.0
Quadra CSC 9 2,  Taguatinga Sul, Taguatinga;Taguatinga Sul;900.0;62.0;;70.0;2.0;2.0;
Quadra QS 1 Rua 212,  Areal, Águas Claras;Areal;1406.0;287.0;;37.0;;1.0;1.0
SCS QUADRA 09 Parque Cidade Corporate,  Asa Sul, Brasília;Asa Sul;36904.0;365.0;7271.0;376.0;;0.0;13.0
Quadra Qnb 5 22,  Taguatinga Norte, Taguatinga;Taguatinga Norte;1700.0;56.0;;150.0;3.0;3.0;2.0
Quadra Quadra 205 2,  Aguas Sul, Águas Claras;Aguas Sul;1280.0;1.0;282.0;40.0;1.0;1.0;
QD 207,  Aguas Sul, Águas Claras;Aguas Sul;130.0;182.0;43.0;8.0;;0.0;1.0
Praça 810 QS 07 5,  Areal, Águas Claras;Areal;800.0;142.0;60.0;50.0;2.0;1.0;
Asa Sul, Brasília;Asa Sul;5500.0;350.0;607.0;62.0;;;
Quadra QNP 32 Conjunto O 35,  Ceilandia Sul, Ceilândia;Ceilandia Sul;750.0;48.0;;90.0;2.0;1.0;2.0
Asa Sul, Brasília;Asa Sul;500.0;73.0;374.0;40.0;;1.0;
QD Sqn 208 101,  Asa Norte, Brasília;Asa Norte;6100.0;56.0;845.0;129.0;3.0;;2.0
SMAS Trecho 3 Lote 03,  Setores Complementares, Brasília;Setores Complementares;1500.0;0.0;280.0;30.0;;1.0;1.0
SHS Quadra 6 Blocos A ao F Lote 1   Business Convention Hotel e Flats - Brasil XXI ,  Asa Sul, Brasília;Asa Sul;2340.0;255.0;829.0;33.0;;1.0;
Taguatinga Norte, Taguatinga;Taguatinga Norte;3600.0;57.0;;200.0;3.0;1.0;3.0
Asa Norte, Brasília;Asa Norte;3100.0;150.0;952.0;83.0;2.0;1.0;1.0
Park Way, Brasília;Park Way;22000.0;179.0;;1500.0;8.0;10.0;12.0
Rua RUA VISCONDE DE PORTO SEGURO - CENTRO - CONJ DE 06 SALAS - ANDAR INTEIRO - EXCELENTE LOCALIZAÇÃO,  Centro, Formosa;Centro;3800.0;251.0;;400.0;;4.0;
Asa Norte, Brasília;Asa Norte;600.0;64.0;299.0;23.0;;;
SCN QD. 1 BLOCO E ED. CENTRAL PARK SALA 1402,  Asa Norte, Brasília;Asa Norte;2000.0;346.0;1963.0;81.0;;1.0;1.0
Valparaiso I - Etapa E, Valparaíso de Goiás;Etapa E;700.0;73.0;;25.0;;1.0;1.0
SCS QUADRA 09 Parque Cidade Corporate,  Asa Sul, Brasília;Asa Sul;117745.0;365.0;24570.0;1201.0;;0.0;41.0
Asa Sul, Brasília;Asa Sul;1900.0;358.0;;29.0;1.0;1.0;1.0
QUADRA QNP 25 CONJUNTO B,  Ceilandia Norte, Ceilândia;Ceilandia Norte;400.0;0.0;;30.0;1.0;;
Quadra C 12 1,  Taguatinga Centro, Taguatinga;Taguatinga Centro;550.0;59.0;262.0;35.0;;1.0;
SQS 111,  Asa Sul, Brasília;Asa Sul;6500.0;58.0;1700.0;243.0;4.0;3.0;2.0
Quadra Qs 16 Conjunto 2 6,  Riacho Fundo II, Riacho Fundo;Riacho Fundo II;4500.0;185.0;;450.0;;;
R Das Carnaúbas ,  Centro, Brasília;Centro;1000.0;15.0;475.0;42.0;1.0;1.0;
Sobradinho, Sobradinho;Sobradinho;2300.0;345.0;125.0;25.0;;0.0;
QUADRA SQS 413 BLOCO O,  Asa Sul, Brasília;Asa Sul;1300.0;16.0;350.0;60.0;2.0;1.0;
QUADRA 7 CL 28,  Sobradinho, Sobradinho;Sobradinho;1400.0;73.0;;26.0;;0.0;1.0
Sudoeste, Brasília;Sudoeste;2000.0;358.0;;28.0;1.0;1.0;1.0
sqn 104,  Asa Norte, Brasília;Asa Norte;3000.0;22.0;740.0;125.0;3.0;2.0;
Asa Sul, Brasília;Asa Sul;2400.0;113.0;800.0;90.0;3.0;1.0;
Quadra CLN 214 Bloco C,  Asa Norte, Brasília;Asa Norte;800.0;28.0;;27.0;;;
Riacho Fundo I, Riacho Fundo;Riacho Fundo I;600.0;200.0;100.0;38.0;1.0;1.0;
SGAS 905,  Asa Sul, Brasília;Asa Sul;900.0;315.0;;32.0;0.0;0.0;4.0
SIA Trecho 1 Lt 230 Setor de Indústria e Abastecimento,  Setor Industrial, Guará;Setor Industrial;900.0;70.0;6106.0;530.0;;5.0;7.0
Asa Norte, Brasília;Asa Norte;2000.0;13.0;460.0;34.0;1.0;1.0;
SHTN TRECHO 1 LOTE 2 LAKE SIDE,  Setor de Hotéis e Turismo Norte, Brasília;Setor de Hotéis e Turismo Norte;6500.0;23.0;;96.0;2.0;2.0;1.0
Recanto das Emas, Recanto das Emas;Recanto das Emas;600.0;0.0;;50.0;1.0;1.0;
Quadra SQN 208 Bloco K 0,  Asa Norte, Brasília;Asa Norte;6500.0;31.0;1100.0;128.0;4.0;3.0;2.0
Nova Colina, Sobradinho;Nova Colina;1100.0;44.0;;96.0;2.0;1.0;
Avenida Das Araucárias 0,  Aguas Sul, Águas Claras;Aguas Sul;800.0;23.0;360.0;30.0;;1.0;
Rua SRTVN Lote P 3110,  Asa Norte, Brasília;Asa Norte;800.0;64.0;440.0;29.0;;1.0;1.0
R Copaíba ,  Centro, Brasília;Centro;1250.0;21.0;;33.0;;;
SIG QUADRA 1 LOTES 495 505 E 515 BRASILIA,  Sig, Setor Industrial;Sig;1600.0;1.0;340.0;51.0;;1.0;1.0
QD Quadra 1 ,  Centro, Brasília;Centro;2500.0;7.0;;80.0;;;
Asa Sul, Brasília;Asa Sul;500.0;322.0;215.0;28.0;;1.0;2.0
CNB 08 Ed. Vale do Araguaia VÃO LIVRE,  Taguatinga Norte, Taguatinga;Taguatinga Norte;9800.0;52.0;2034.0;706.0;;2.0;
Quadra QR 306 Conjunto 17 1,  Samambaia Sul, Samambaia;Samambaia Sul;2500.0;69.0;;110.0;3.0;2.0;1.0
Taguatinga Norte, Taguatinga;Taguatinga Norte;750.0;210.0;350.0;58.0;2.0;2.0;
Quadra SEPS 705/905 0 ,  Asa Sul, Brasília;Asa Sul;200.0;357.0;;12.0;;0.0;1.0
Quadra SHIS QI 23 Bloco A,  Lago Sul, Brasília;Lago Sul;3000.0;0.0;;80.0;;;
QD QS 1 210,  Areal, Águas Claras;Areal;2250.0;56.0;363.0;45.0;;1.0;
EPTG QE 2 - Ed. Provence,  Quadras Economicas Lucio Costa, Guará;Quadras Economicas Lucio Costa;2500.0;365.0;507.0;82.0;1.0;2.0;1.0
Aguas Norte, Águas Claras;Aguas Norte;1490.0;58.0;;33.0;1.0;1.0;1.0
Lago Sul, Brasília;Lago Sul;1400.0;181.0;300.0;25.0;;1.0;
Lago Norte, Brasília;Lago Norte;900.0;365.0;306.0;40.0;;1.0;
Quadra Q 1 Conjunto D 0,  Setor De Desenvolvimento Economico, Taguatinga;Setor De Desenvolvimento Economico;9500.0;55.0;;683.0;;3.0;50.0
QD 205,  Aguas Sul, Águas Claras;Aguas Sul;150.0;1.0;89.0;12.0;;0.0;1.0
QUADRA SQN 310,  Asa Norte, Brasília;Asa Norte;2500.0;0.0;500.0;58.0;2.0;2.0;
QD Shis Ql 20 20,  Lago Sul, Brasília;Lago Sul;35000.0;365.0;;1100.0;5.0;;
SQS 107 Bloco J,  Asa Sul, Brasília;Asa Sul;12000.0;8.0;1500.0;264.0;4.0;4.0;1.0
Centro clínico Cléo Octávio,  Asa Norte, Brasília;Asa Norte;15000.0;30.0;2350.0;195.0;;1.0;
Quadra QNE 1,  Taguatinga Norte, Taguatinga;Taguatinga Norte;8000.0;365.0;;340.0;;2.0;
QD QN 614 ,  Samambaia Norte, Samambaia;Samambaia Norte;1400.0;23.0;100.0;28.0;;;
QUADRA SQS 405 BLOCO T,  Asa Sul, Brasília;Asa Sul;950.0;30.0;354.0;28.0;1.0;1.0;
Quadra Qnb 6 2,  Taguatinga Norte, Taguatinga;Taguatinga Norte;6000.0;31.0;;315.0;;;
QS 614 LOJA DE ESQUINA - ED VISTA LIFE - FRENTE HOSPITAL 07,  Samambaia Norte, Samambaia;Samambaia Norte;1890.0;157.0;288.0;44.0;;1.0;
Quadra SHIS QI 9 Bloco A 52/60,  Lago Sul, Brasília;Lago Sul;13200.0;96.0;;82.0;;2.0;
Rua das Paineiras 31,  Aguas Norte, Águas Claras;Aguas Norte;1300.0;116.0;;32.0;;;
Lote B, SHN Q. 4 - Asa Norte, Brasília - DF,  Setor Hoteleiro Norte, Brasília;Setor Hoteleiro Norte;4000.0;107.0;;89.0;1.0;2.0;1.0
QD Qnm 40 ,  Taguatinga Norte, Taguatinga;Taguatinga Norte;15000.0;365.0;;2800.0;;4.0;
kitinete residencial  ou comercial com garagem. De frente a avenida principal, acima de comercio bem movimentado descendo o BRB,  Vicente Pires, Vicente Pires;Vicente Pires;700.0;365.0;;40.0;1.0;1.0;1.0
HABITACIONAL VICENTE PIRES GARAG ELEV GAS ENCANADO MONITORADO,  Vicente Pires, Vicente Pires;Vicente Pires;990.0;11.0;198.0;70.0;2.0;1.0;1.0
SCLN 114 BLOCO A  KIT 105,  Asa Norte, Brasília;Asa Norte;1000.0;107.0;196.0;30.0;1.0;1.0;
Asa Sul, Brasília;Asa Sul;1500.0;134.0;495.0;36.0;;1.0;1.0
Taguatinga Norte, Taguatinga;Taguatinga Norte;500.0;33.0;;30.0;;1.0;
Quadra Scs Quadra 9 1,  Asa Sul, Brasília;Asa Sul;25000.0;31.0;6900.0;425.0;;;5.0
QD Sqn 208 303,  Asa Norte, Brasília;Asa Norte;6300.0;56.0;839.0;128.0;4.0;;2.0
Vila Planalto, Brasília;Vila Planalto;655.0;233.0;;20.0;1.0;1.0;
SCN Q. 1 BLOCO E ED. CENTRAL PARK SALA 316,  Asa Norte, Brasília;Asa Norte;800.0;346.0;611.0;32.0;;1.0;1.0
Centro, Brasília;Centro;400.0;322.0;;55.0;1.0;1.0;1.0
SHIS QL 24 0 SHIS QI QL SHIN QI SMDB PARK WAY,  Lago Sul, Brasília;Lago Sul;25000.0;365.0;;1600.0;6.0;11.0;15.0
Asa Sul, Brasília;Asa Sul;3340.0;365.0;1654.0;66.0;;2.0;
Taguatinga Norte, Taguatinga;Taguatinga Norte;1500.0;3.0;384.0;70.0;3.0;1.0;1.0
3º Avenida - Apartamento de 2 quartos no Ed. Classic,  Nucleo Bandeirante, Núcleo Bandeirante;Nucleo Bandeirante;1200.0;1.0;270.0;41.0;2.0;1.0;
Avenida Jacarandá 47,  Centro, Águas Claras;Centro;750.0;0.0;372.0;28.0;;12.0;
Setor SRTVS 110,  Asa Sul, Brasília;Asa Sul;160.0;0.0;145.0;12.0;;;
Centro, Ceilândia;Centro;1000.0;365.0;;95.0;;2.0;
Asa Sul, Brasília;Asa Sul;500.0;365.0;485.0;32.0;;1.0;
Setor Hoteleiro Sul, Brasília;Setor Hoteleiro Sul;9165.0;70.0;2570.0;101.0;;2.0;
Taguatinga Centro, Taguatinga;Taguatinga Centro;180.0;33.0;;3.0;;;1.0
Quadra Shis Qi 25 0,  Lago Sul, Brasília;Lago Sul;20000.0;84.0;;700.0;4.0;4.0;5.0
QD QNL 6 ,  Taguatinga Norte, Taguatinga;Taguatinga Norte;950.0;0.0;300.0;76.0;2.0;1.0;1.0
QD Sqs 216 Bloco B 2,  Asa Sul, Brasília;Asa Sul;12000.0;2.0;1882.0;213.0;4.0;5.0;2.0
Asa Norte, Brasília;Asa Norte;97350.0;365.0;31583.0;1387.0;;4.0;26.0
Asa Norte, Brasília;Asa Norte;1800.0;1.0;964.0;70.0;;2.0;1.0
Guara II, Guará;Guara II;1300.0;8.0;335.0;60.0;2.0;1.0;1.0
Trecho SIA Trecho 2 546,  Zona Industrial, Guará;Zona Industrial;35000.0;31.0;4900.0;800.0;;;12.0
Park Sul, Brasília;Park Sul;3900.0;21.0;920.0;100.0;3.0;3.0;2.0
Setor SDS 2,  Asa Sul, Brasília;Asa Sul;600.0;136.0;440.0;;;1.0;
Quadra CNM 1 Bloco I 2,  Ceilandia Centro, Ceilândia;Ceilandia Centro;11000.0;365.0;;390.0;;5.0;
QNN 11 LOTE 05 - ED. DIAMANTINA ,  Ceilandia Norte, Ceilândia;Ceilandia Norte;820.0;42.0;419.0;33.0;1.0;1.0;1.0
AV Águas Claras Qs 08 ,  Areal, Águas Claras;Areal;600.0;55.0;180.0;15.0;1.0;1.0;
Asa Norte, Brasília;Asa Norte;800.0;165.0;300.0;25.0;1.0;1.0;1.0
SIA 4-C,  Sia, Setor Industrial;Sia;800.0;8.0;332.0;30.0;;0.0;
CLN 411 Bloco C Sala 107,  Asa Norte, Brasília;Asa Norte;650.0;21.0;230.0;30.0;0.0;;
Asa Norte, Brasília;Asa Norte;800.0;0.0;1007.0;34.0;;1.0;1.0
SCN QUADRA 1 BLOCO E  1408,1409,1410,1412,1413,1414,1415,  Asa Norte, Brasília;Asa Norte;6880.0;346.0;6702.0;275.0;;7.0;7.0
Asa Sul, Brasília;Asa Sul;4500.0;217.0;1050.0;165.0;3.0;0.0;1.0
CLN 115 BLOCO D,  Asa Norte, Brasília;Asa Norte;500.0;29.0;218.0;25.0;;1.0;
Quadra Sgcv Lote 15 0,  Zona Industrial, Guará;Zona Industrial;1150.0;62.0;347.0;28.0;;1.0;
Quadra QNN 2,  Ceilandia Sul, Ceilândia;Ceilandia Sul;1000.0;287.0;;44.0;;1.0;
Rua 4 D CHÁCARA 01 LOTE 23 ,  Setor Habitacional Vicente Pires, Taguatinga;Setor Habitacional Vicente Pires;2500.0;8.0;;110.0;;2.0;
Asa Norte, Brasília;Asa Norte;1200.0;115.0;238.0;32.0;1.0;1.0;
Quadra SEPS 705/905 0,  Asa Sul, Brasília;Asa Sul;950.0;46.0;322.0;25.0;;1.0;
CLN 315 BLOCO D,  Asa Norte, Brasília;Asa Norte;2000.0;43.0;306.0;85.0;;2.0;
Asa Norte, Brasília;Asa Norte;11500.0;32.0;1700.0;100.0;3.0;;2.0
Setor SRTVS Quadra 701 3,  Asa Sul, Brasília;Asa Sul;1700.0;304.0;617.0;80.0;;1.0;1.0
Asa Sul, Brasília;Asa Sul;3000.0;330.0;480.0;48.0;1.0;0.0;1.0
Trecho Sia Trecho 17  20 1,  Zona Industrial, Guará;Zona Industrial;35000.0;365.0;;1846.0;;;15.0
Asa Sul, Brasília;Asa Sul;2400.0;134.0;348.0;55.0;;1.0;
Centro, Águas Claras;Centro;1400.0;27.0;;35.0;1.0;1.0;1.0
Quadra CLN 114 Bloco B,  Asa Norte, Brasília;Asa Norte;1100.0;0.0;;41.0;1.0;1.0;
Quadra SCS Quadra 1 0,  Asa Sul, Brasília;Asa Sul;850.0;52.0;380.0;42.0;;1.0;
CLN 410 Bloco C,  Asa Norte, Brasília;Asa Norte;1100.0;25.0;233.0;34.0;1.0;1.0;
Quadra Smc Quadra 1 0,  Setor de Materiais de Construção, Ceilândia;Setor de Materiais de Construção;100000.0;31.0;;5000.0;;;
Setor SDS 410,  Asa Sul, Brasília;Asa Sul;400.0;55.0;381.0;30.0;;1.0;
Lago Sul, Brasília;Lago Sul;35000.0;190.0;;800.0;5.0;9.0;4.0
Setor Comercial Norte 5,  Asa Norte, Brasília;Asa Norte;2100.0;46.0;567.0;32.0;;;
QS 12 ,  Riacho Fundo I, Riacho Fundo;Riacho Fundo I;950.0;71.0;;48.0;2.0;1.0;
Asa Sul, Brasília;Asa Sul;650.0;72.0;184.0;34.0;;1.0;
Rua SGAN 912 Módulo C 0,  Asa Norte, Brasília;Asa Norte;800.0;52.0;297.0;25.0;1.0;1.0;
Asa Sul, Brasília;Asa Sul;900.0;1.0;630.0;34.0;;;
QE 01 CONJ I CASA 04 FRENTE,  Centro, Guará;Centro;2200.0;17.0;;119.0;3.0;;
Setor Habitacional Jardim Botânico, Brasília;Setor Habitacional Jardim Botânico;1850.0;217.0;350.0;260.0;2.0;0.0;6.0
Comércio Local Bloco A CRUZEIRO CENTER SALA 118,  Cruzeiro Velho, Cruzeiro;Cruzeiro Velho;1000.0;365.0;132.0;41.0;;1.0;
Sala comercial 25m2 Área Nobre Lago Norte de Brasília Shopping Deck Norte Lago Norte - DF,  Lago Norte, Brasília;Lago Norte;749.0;102.0;239.0;25.0;;1.0;
RUA JERIVA,  Aguas Sul, Águas Claras;Aguas Sul;2900.0;55.0;;300.0;0.0;0.0;
Quadra QE 40,  Guara II, Guará;Guara II;1610.0;156.0;;10.0;;1.0;
Quadra QS 2 Conjunto 8 201,  Riacho Fundo I, Riacho Fundo;Riacho Fundo I;810.0;21.0;80.0;45.0;1.0;1.0;
Quadra Quadra Saan Quadra 2 0,  Setor De Industrias, Brasília;Setor De Industrias;25000.0;25.0;;1600.0;;;
Area Especial Setor C Norte,  Taguatinga Norte, Taguatinga;Taguatinga Norte;5500.0;365.0;;120.0;;4.0;
Avenida Marginal CSB 06,  Taguatinga Sul, Taguatinga;Taguatinga Sul;3200.0;346.0;383.0;180.0;;0.0;
SDS BLOCO Q - SALA COMERCIAL - LOCAÇÃO,  Asa Sul, Brasília;Asa Sul;650.0;365.0;;30.0;;1.0;
Taguatinga Sul, Taguatinga;Taguatinga Sul;2000.0;101.0;;85.0;;1.0;
Quadra SEPS 712/912 0,  Asa Sul, Brasília;Asa Sul;1200.0;52.0;252.0;25.0;1.0;1.0;1.0
Riacho Fundo I, Riacho Fundo;Riacho Fundo I;6000.0;167.0;;150.0;;3.0;
Setor SRTVS Quadra 701 7,  Asa Sul, Brasília;Asa Sul;1000.0;304.0;3.0;45.0;;1.0;1.0
SQS 403 APTO 305,  Asa Sul, Brasília;Asa Sul;2650.0;45.0;590.0;89.0;3.0;2.0;
CLN 311 BLOCO B,  Asa Norte, Brasília;Asa Norte;650.0;7.0;275.0;30.0;1.0;1.0;
QD Sqs 314,  Asa Sul, Brasília;Asa Sul;11500.0;56.0;1857.0;234.0;3.0;;2.0
Taguatinga Norte, Taguatinga;Taguatinga Norte;650.0;127.0;300.0;60.0;2.0;1.0;1.0
Asa Sul, Brasília;Asa Sul;1500.0;49.0;;30.0;;1.0;1.0
SEPS Quadra 702/902 Bloco A Asa Sul Brasília Edifício General Alencastro,  Asa Sul, Brasília;Asa Sul;123377.0;245.0;50248.0;2443.0;;10.0;50.0
Quadra QND 35 1,  Taguatinga Norte, Taguatinga;Taguatinga Norte;750.0;365.0;50.0;43.0;1.0;1.0;
QD 8 Comércio ,  Setor Sul, Gama;Setor Sul;1100.0;0.0;1.0;62.0;2.0;1.0;1.0
Aguas Norte, Águas Claras;Aguas Norte;1900.0;0.0;580.0;70.0;3.0;3.0;1.0
Quadra SMPW Quadra 13 0,  Park Way, Brasília;Park Way;28000.0;274.0;;1500.0;5.0;3.0;3.0
Jardim Goiás, Goiânia;Jardim Goiás;5500.0;304.0;650.0;178.0;4.0;5.0;3.0
Lago Norte, Brasília;Lago Norte;900.0;365.0;306.0;40.0;;1.0;
Asa Norte, Brasília;Asa Norte;900.0;0.0;404.0;26.0;1.0;1.0;
SCRN 704,705 BL. B  apt 216 B PIAZZA VITTA,  Asa Norte, Brasília;Asa Norte;1150.0;8.0;399.0;30.0;1.0;1.0;1.0
QD QS 1 1401,  Areal, Águas Claras;Areal;5800.0;56.0;4520.0;384.0;;12.0;12.0
SIA/SUL Techo 05 4º Andar,  Zona Industrial, Brasília;Zona Industrial;600.0;200.0;243.0;27.0;;1.0;
Quadra Sgan 911 Conjunto G 0,  Asa Norte, Brasília;Asa Norte;1250.0;52.0;284.0;25.0;1.0;1.0;1.0
Quadra QSC 23,  Taguatinga Sul, Taguatinga;Taguatinga Sul;1100.0;28.0;;;3.0;1.0;
QUADRA QMSW 5 LOTE 2 BLOCO A,  Sudoeste, Brasília;Sudoeste;1200.0;64.0;300.0;27.0;1.0;;1.0
Asa Norte, Brasília;Asa Norte;650.0;134.0;;30.0;;0.0;
R Das Figueiras ,  Centro, Brasília;Centro;2100.0;22.0;650.0;45.0;;;
Sqn 205 ,  Asa Norte, Brasília;Asa Norte;7000.0;365.0;1000.0;200.0;;;
Quadra SQS 113 Bloco J 1,  Asa Sul, Brasília;Asa Sul;4500.0;167.0;1297.0;144.0;3.0;3.0;1.0
Sia, Setor Industrial;Sia;350.0;27.0;249.0;16.0;;1.0;
R Rua 12 Norte ,  Centro, Brasília;Centro;12573.0;22.0;;229.0;;3.0;2.0
QUADRA CLN 213,  Asa Norte, Brasília;Asa Norte;1100.0;217.0;;30.0;;1.0;
Quadra QRSW 6 Bloco B-7 1,  Sudoeste, Brasília;Sudoeste;2200.0;25.0;400.0;92.0;2.0;1.0;
Asa Sul, Brasília;Asa Sul;11000.0;204.0;;200.0;;4.0;
Asa Sul, Brasília;Asa Sul;900.0;217.0;;31.0;;;
Setor SGCV 0,  Zona Industrial, Guará;Zona Industrial;1300.0;304.0;269.0;24.0;1.0;1.0;1.0
SCS Quadra 3,  Asa Sul, Brasília;Asa Sul;6000.0;0.0;;200.0;;2.0;2.0
Zona Industrial, Guará;Zona Industrial;1700.0;39.0;336.0;28.0;1.0;1.0;1.0
Sobradinho, Sobradinho;Sobradinho;600.0;0.0;165.0;32.0;1.0;1.0;
Trecho STRC Trecho 4 Conjunto A 0,  Zona Industrial, Guará;Zona Industrial;23000.0;338.0;;1400.0;;;
Asa Sul, Brasília;Asa Sul;2000.0;168.0;553.0;39.0;;;
AV Águas Claras Qs 08 ,  Areal, Águas Claras;Areal;500.0;55.0;150.0;12.0;1.0;1.0;
EQNN 23/25 BLOCO C,  Ceilandia Norte, Ceilândia;Ceilandia Norte;550.0;15.0;;70.0;2.0;1.0;
